id,name_en,name_fr
0000,Australia,
0001,Austria,
0002,Belgium,
0003,Canada,
0004,Chile,
0005,Colombia,
0006,Costa Rica,
0007,Czech Republic,
0008,Denmark,
0009,Estonia,
0010,Finland,
0011,France,
0012,Germany,
0013,Greece,
0014,Hungary,
0015,Iceland,
0016,Ireland,
0017,Israel,
0018,Italy,
0019,Japan,
0020,Korea,
0021,Latvia,
0022,Lithuania,
0023,Luxembourg,
0024,Netherlands,
0025,New Zealand,
0026,Norway,
0027,Poland,
0028,Portugal,
0029,Slovak Republic,
0030,Slovenia,
0031,Spain,
0032,Sweden,
0033,Switzerland,
0034,Turkey,
0035,United Kingdom,
0036,United States,
0038,Mexico,
0039,Slovakia,
0040,Brazil,
0041,Russia,
0043,United Kingdom of Great Britain and Northern Ireland,
0044,Republic of Korea,
0045,England & Wales,
0046,China,
0047,OECD,
